US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Creative Type,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
42100625,85724728,13123388,30000000,May 29 2009,PG-13,99,Fantasy,92,7.1,51343
128067808,213200000,,15000000,Dec 08 2000,PG-13,120,Historical Fiction,,,
36020063,54962616,27718572,22000000,Nov 11 2005,R,,Contemporary Fiction,20,3.4,3317
112950721,176101721,,72000000,Jun 22 2001,PG,87,Kids Fiction,,6,2993
144156605,294156605,,71500000,Jun 26 1998,PG-13,85,Kids Fiction,,5.2,25648
22734486,23734486,,17000000,Sep 05 2003,PG-13,,Contemporary Fiction,,5.5,6949
32862104,49686263,12040874,40000000,Mar 21 2008,PG-13,,Contemporary Fiction,26,5.9,19388
239962,239962,,4700000,Oct 13 2006,PG-13,98,,48,6.7,5380
32616869,54616869,,72000000,Apr 27 2001,PG-13,117,Contemporary Fiction,13,4.2,18795
22163442,34409206,,10600000,Dec 25 2004,PG-13,,Contemporary Fiction,4,5.3,9979
6543194,6543194,,34000000,May 05 2000,PG-13,,Contemporary Fiction,9,5.2,2298
33685268,75685268,,68000000,Mar 21 2003,R,136,Science Fiction,30,5.3,34141
103365956,154965956,53674555,75000000,Dec 15 2006,PG-13,130,Historical Fiction,78,6.6,28016
4217115,4217115,,16000000,Aug 13 1999,R,,Historical Fiction,47,6.4,15092
10571408,10571408,,10000000,Jul 23 1999,PG-13,,Contemporary Fiction,45,6.2,16344
56398162,56398162,,20000000,Dec 13 2002,PG-13,118,Contemporary Fiction,81,5.2,18165
11546543,11546543,,2000000,Oct 20 2000,R,,Contemporary Fiction,,,
638227,1075504,,2000000,Sep 28 2001,R,,Contemporary Fiction,,7.2,2991
26024456,57029609,22484444,7000000,Aug 04 2006,R,99,Contemporary Fiction,,7.4,58176
2255000,2255000,,3000000,Apr 04 2003,R,,Factual,43,5.9,501
40363530,40363530,,16000000,Aug 02 2002,PG,80,Kids Fiction,2,3,10050
99147,99147,,5000000,Jun 04 1999,R,,,,6,1412
80209692,117573043,34508128,20000000,Apr 13 2007,PG-13,104,Contemporary Fiction,68,7,72231
29823162,29823162,,24000000,Jan 12 2001,PG-13,88,Contemporary Fiction,12,6.8,162
8580428,34743644,,20000000,Aug 17 2007,R,90,Contemporary Fiction,61,5.1,6628
144583,371647,,800000,Mar 10 2000,R,,,45,6.3,1776
8112414,13904766,,10000000,Jul 18 2003,R,,Contemporary Fiction,,7.5,18554
9818792,9818792,,22000000,Aug 27 1999,PG,,Kids Fiction,14,3.6,4628
4734235,4734235,,16000000,Sep 15 2000,R,,Contemporary Fiction,21,5.7,5340
80270227,110570227,,53000000,Aug 05 2005,PG-13,105,Contemporary Fiction,13,4.7,27016
870067,994790,,12000000,Sep 30 2005,PG,,,93,7.2,2966
26214846,26214846,,30000000,Jun 13 2003,PG-13,85,Contemporary Fiction,10,3.3,14813
0,909822,,15000000,Oct 08 2005,,,Fantasy,,,
15185241,33771965,,35000000,Dec 08 2000,PG-13,,Fantasy,,3.6,16954
9652000,10070651,,40000000,Sep 26 2003,PG-13,,Contemporary Fiction,,5.7,19238
75802010,130402010,41651251,54000000,Jul 14 2006,PG-13,,Contemporary Fiction,21,6.1,164
61007424,153007424,,57000000,Oct 17 1997,R,144,Contemporary Fiction,,,
217536138,757236138,100178981,125000000,May 19 2006,PG-13,,Contemporary Fiction,25,6.4,116903
10977721,79915361,7614486,32000000,Sep 14 2007,PG-13,90,Fantasy,,3.8,14081
6044618,6044618,,10000000,May 03 2002,R,,Historical Fiction,3,5.3,4010
64172251,71172251,,30000000,Feb 16 2001,PG-13,87,Fantasy,19,5,9193
20035310,20035310,,9000000,Jan 21 2000,PG-13,92,Contemporary Fiction,3,4.4,7095
4017609,11498547,6017494,20000000,Nov 21 2007,R,,Dramatization,76,7.1,23078
21056221,22156221,,8000000,Sep 17 2010,PG-13,,Contemporary Fiction,80,7.7,483
133411,133411,,3000000,Feb 26 2010,R,,,,6.2,790
43313890,78739628,12665512,60000000,Jan 29 2010,R,,Contemporary Fiction,55,6.7,24174
22508689,35319689,,60000000,Mar 26 1999,PG-13,122,Contemporary Fiction,62,6,21734
12574914,14134502,1765115,7500000,Oct 09 2009,PG-13,,Dramatization,94,7.5,22855
4170647,4170647,,3000000,Apr 14 2000,R,,Contemporary Fiction,,6.7,8351
3602884,4002884,,3000000,Apr 18 1997,R,,Contemporary Fiction,11,4.8,5127
101440743,178066569,38374936,80000000,Sep 26 2008,PG-13,117,Contemporary Fiction,27,6.6,52336
36443442,96398826,,40000000,Feb 26 1999,R,119,Contemporary Fiction,22,6.3,47753
5580479,15035827,,5500000,Dec 14 2001,R,,Dramatization,79,5.8,44
14943582,14943582,,8500000,Apr 23 1999,R,103,Contemporary Fiction,92,7.4,37454
24409722,56409722,,65000000,Jan 14 2005,PG-13,,Super Hero,10,4.9,27283
173398518,220443451,,32000000,Nov 07 2003,PG,95,Kids Fiction,84,6.8,42123
30082699,82150642,,25000000,Nov 06 1998,R,124,Dramatization,81,7.6,33773
22913677,22913677,,35000000,Apr 09 2004,PG,96,Fantasy,49,6.3,12020
56330657,98156459,,29000000,Sep 12 2003,R,102,Contemporary Fiction,68,6.2,54413
11634458,11634458,,17000000,Oct 01 1999,G,,Kids Fiction,76,5.4,1059
14060950,16124074,,12500000,Nov 22 2002,PG-13,,Historical Fiction,50,6.7,8165
17504595,18495444,,3500000,Dec 06 2002,R,,Contemporary Fiction,21,6.5,63
77437223,129437223,,3400000,Jun 24 2005,G,80,Factual,,7.8,23674
28444855,38117718,21177885,10000000,Oct 06 2006,PG-13,103,Contemporary Fiction,20,5.4,17845
89296573,169296573,,100000000,Dec 15 2000,G,78,Kids Fiction,85,7.4,23355
127706877,340384141,87698079,85000000,Nov 21 2007,PG,108,Fantasy,92,7.5,55697
10660147,10660147,,23000000,Dec 03 1999,R,,Historical Fiction,67,6.9,9969
66889043,212026975,,100000000,Nov 24 1999,R,120,Fantasy,11,5.4,43513
11748661,11748661,,10000000,Jan 20 2006,PG-13,,Historical Fiction,,6.7,2884
51396781,96971293,,85000000,Mar 16 2001,R,131,Historical Fiction,53,7.4,59916
111549836,250649836,,85000000,Nov 20 1998,R,127,Contemporary Fiction,70,7.2,66700
87707396,211700000,,66000000,Apr 30 1999,PG-13,112,Contemporary Fiction,38,6.1,40764
39177215,39177215,,38000000,May 24 2002,PG-13,115,Contemporary Fiction,21,6.5,92
13548322,14566246,,20000000,Apr 30 2004,PG-13,,Contemporary Fiction,7,4.6,15655
39739367,86858578,16839362,20000000,Jan 26 2007,PG-13,86,Contemporary Fiction,2,2.2,48975
75030163,249488115,87700229,100000000,Dec 15 2006,PG,102,Fantasy,16,5,43555
125548685,258400000,,50000000,Mar 17 2000,R,133,Dramatization,83,7.2,54977
26850426,50719373,15854391,54000000,Oct 14 2005,PG-13,133,Contemporary Fiction,28,6.4,31775
78146373,81846373,,60000000,Aug 13 2010,R,143,Contemporary Fiction,37,4.7,3019
34366518,47066518,,20000000,Mar 19 2004,R,108,Fantasy,93,8.5,219986
70527,70527,,10000000,Oct 15 2004,R,,,32,6.6,5205
49388,76654,,2000000,May 04 2001,Not Rated,,,,7.9,1391
17718223,20718223,,25000000,Feb 20 2004,R,,Contemporary Fiction,46,6.5,52548
14843425,14843425,,5000000,Nov 07 1997,R,109,Historical Fiction,80,7,4509
26673242,26673242,,60000000,Aug 15 1997,R,95,Science Fiction,21,6.3,44671
65705772,65705772,,26000000,Jul 31 1998,PG,122,Historical Fiction,,,
50047179,151947179,,55000000,Dec 25 1996,PG,134,Dramatization,61,6.1,16769
38311134,98341932,,80000000,Jun 08 2001,PG-13,102,Contemporary Fiction,42,5.9,39590
75078,75078,,4000000,Dec 25 2000,R,,,49,6,1097
51957,51957,,4500000,Aug 31 2007,Not Rated,100,Historical Fiction,,7.3,3699
51758599,79958599,,33000000,Mar 16 2001,R,100,Contemporary Fiction,33,5.2,14528
75072454,144216468,,18000000,Sep 09 2005,PG-13,114,Dramatization,45,6.8,32425
41814863,43957541,,78000000,Aug 20 2004,R,114,Historical Fiction,,5,15901
9793406,9808102,6580715,37500000,Oct 04 2008,PG,129,Dramatization,61,7.1,4749
2840417,2840417,,20700000,Apr 23 1999,R,,Science Fiction,71,6.8,35788
10823158,10849158,,7500000,Sep 04 2009,R,,Contemporary Fiction,62,6.4,12371
4835968,12624471,,40000000,Nov 27 2002,PG-13,,Contemporary Fiction,6,4.1,3195
55691208,86257553,,65000000,Jul 16 1999,R,159,Contemporary Fiction,78,7.2,93880
40283321,40283321,,15000000,Dec 25 1998,R,102,Contemporary Fiction,51,6.3,36139
88715192,128402901,41348843,50000000,Mar 10 2006,PG-13,,Contemporary Fiction,25,5.6,20324
37036404,45336404,,29000000,Apr 14 2000,PG-13,129,Contemporary Fiction,68,6.5,25485
22455510,77956957,4950732,18000000,Sep 25 2009,PG,,Contemporary Fiction,25,4.5,4973
60062868,91762868,23961409,18000000,Dec 16 2005,PG-13,103,Contemporary Fiction,52,6.3,24434
113433,113433,,1000000,Aug 22 2001,PG-13,,,,,
9103630,9103630,,80000000,Jun 16 2000,G,,Fantasy,,,
15901849,29027914,,13500000,Nov 08 2002,PG-13,,Historical Fiction,89,7.5,20239
16670,83356,,5000000,Jan 28 2005,R,,,,2.5,1016
28681080,35681080,,85000000,May 09 1997,PG-13,98,Contemporary Fiction,,4.8,6654
10178331,10178331,20091582,100000,Sep 29 2006,PG,,Contemporary Fiction,9,6,4901
112276146,241200000,,80000000,Jun 27 1997,R,138,Contemporary Fiction,93,7.3,102001
46896664,89626226,,26000000,Jan 31 2003,R,90,Fantasy,47,6.4,35737
54098051,112798051,18646884,25000000,Feb 10 2006,R,,Fantasy,45,5.9,32263
66477700,185777700,10148305,40000000,Aug 28 2009,R,,Fantasy,27,4.9,20319
13208023,13208023,,40000000,Aug 30 2002,R,,Contemporary Fiction,,3.1,11438
10680275,13711903,,18500000,May 22 1998,R,,Dramatization,47,7.6,81560
56131,341808,3570398,3200000,Sep 22 2006,R,,Fantasy,55,6.4,12023
63570862,263900000,,95000000,May 09 1997,PG-13,105,Science Fiction,72,7.4,131252
6592103,6592103,,35000000,Nov 06 2002,R,,Contemporary Fiction,48,6.3,16693
68353550,90453550,,10000000,Aug 25 2000,PG-13,99,Contemporary Fiction,63,5.9,30309
154696080,330579719,4702358,87500000,Jul 08 2005,PG-13,123,Super Hero,27,5.7,71675
16757163,16757163,,13000000,Aug 28 1998,R,92,Dramatization,13,5.6,15023
127120058,236220058,,76000000,Jun 06 2003,PG-13,107,Contemporary Fiction,36,5.1,44151
144512310,206512310,,38000000,Jun 22 2001,PG-13,107,Contemporary Fiction,53,6,67939
70231041,109362966,20620930,72500000,Feb 08 2008,PG-13,,Contemporary Fiction,,7.6,93
119114517,222414517,,6000000,Jun 23 2004,R,122,Factual,83,7.6,74424
14363397,14678228,2987505,20000000,Sep 23 2009,R,,Factual,75,7.3,11829
31598308,31598308,,35000000,Oct 19 2001,R,123,Historical Fiction,57,6.8,53477
298110,419801,,8000000,Jun 15 2007,R,93,Fantasy,,6.9,11683
37030102,100853753,,65000000,Oct 15 1999,R,139,Contemporary Fiction,81,8.8,382470
32131830,85131830,,137000000,Jul 11 2001,PG-13,120,Science Fiction,,6.4,36227
51768623,80013623,,43000000,Dec 19 2000,PG-13,137,Contemporary Fiction,74,7.2,35966
14249005,14249005,,15000000,Apr 20 2001,R,,Contemporary Fiction,11,4,25033
8123860,8123860,,19000000,Jan 09 1998,R,,Contemporary Fiction,,4.4,2118
374675,374675,,3000000,Jan 15 2010,,,,,7.5,5940
824295,1970268,,15000000,Nov 12 1999,PG-13,,Contemporary Fiction,88,6.9,4790
4922166,4922166,,12000000,Jun 20 2003,PG,,Contemporary Fiction,8,1.6,17596
53302314,112802314,,23000000,Mar 17 2000,R,98,Fantasy,31,6.8,52618
33602376,61902376,45105366,53000000,Oct 20 2006,R,,Historical Fiction,73,7.2,42788
4485485,4485485,,27000000,Nov 24 1999,R,,Contemporary Fiction,43,6.7,8125
148089,1635241,,9000000,Jul 31 2009,,132,Historical Fiction,,7.2,4182
21000147,21893591,49974754,15000000,Oct 20 2006,PG,94,Contemporary Fiction,54,5.7,2832
21009180,34009180,,75000000,Dec 17 2004,PG-13,,Historical Fiction,30,6,18568
31567134,76366864,17832230,18000000,Apr 28 2006,R,,Dramatization,91,7.8,46691
92993801,177993801,,80000000,Nov 26 1997,PG,93,Kids Fiction,17,4.6,18890
64665672,177665672,71025931,149000000,Nov 03 2006,PG,85,Kids Fiction,72,7,21334
13090630,14816379,23631077,60000000,Sep 22 2006,PG-13,139,Dramatization,33,6.5,13934
14543943,40098231,,25000000,Aug 15 2008,G,89,Kids Fiction,17,4.7,1653
1173673,1788077,,13000000,Mar 17 2006,R,,Dramatization,60,7.1,12800
75764085,124715863,,60000000,Dec 22 2000,PG-13,126,Contemporary Fiction,52,6.6,34090
13368437,15328368,7822762,6500000,Apr 07 2006,R,,Contemporary Fiction,71,6.1,11087
339714978,867894287,,94000000,May 30 2003,G,100,Kids Fiction,98,8.2,165006
52850,52850,,500000,Oct 05 2007,Not Rated,,Contemporary Fiction,35,,
0,0,,65000000,Dec 31 2009,PG,,Kids Fiction,,,
5204007,5204007,,27000000,Oct 18 2002,R,,Contemporary Fiction,,,
10144010,15461638,8752844,35000000,Nov 22 2006,PG-13,96,Science Fiction,51,7.4,72562
131921738,288215319,62277740,120000000,Jun 15 2007,PG,92,Super Hero,36,,
0,0,1619183,5000000,Jan 30 2007,R,,Contemporary Fiction,,4.1,3186
89706988,225706988,,55000000,Sep 23 2005,PG-13,93,Contemporary Fiction,38,6.2,45305
13110448,17423030,,11000000,Apr 12 2002,R,,Contemporary Fiction,74,7.3,27629
52075270,129075270,23318686,55000000,Apr 18 2008,PG-13,105,Fantasy,64,6.7,36548
36605602,43090741,20532539,21000000,Jan 05 2007,PG-13,122,Dramatization,69,7.5,18065
57176582,59675307,,9500000,Jan 12 2000,R,98,Contemporary Fiction,21,5.3,10176
110222438,160822438,,26000000,Aug 06 2003,PG,97,Contemporary Fiction,88,6.5,29137
44983704,68079671,,31000000,Apr 28 2000,PG-13,118,Science Fiction,69,7.3,35968
25514517,38514517,,39000000,Sep 30 2005,PG-13,119,Science Fiction,81,8,106648
66711892,111311892,,50000000,Sep 24 2004,PG-13,91,Contemporary Fiction,,4.9,1169
13121555,16951798,,14000000,Apr 26 2002,R,,Contemporary Fiction,21,4.4,17964
65002019,91700771,9566980,17000000,Feb 13 2009,R,,Fantasy,26,5.6,26798
33253609,33526835,,10000000,Nov 22 2002,R,85,Contemporary Fiction,25,5.3,6742
25885000,56298474,,12000000,Oct 25 2002,R,123,Dramatization,76,7.3,26243
61255921,61950770,,30000000,Oct 08 2004,PG-13,117,Contemporary Fiction,81,7.2,20868
2503902,5281776,,1000000,Aug 01 2008,R,,Contemporary Fiction,87,7.2,10447
104374107,263467382,68101150,105000000,Nov 25 2009,G,,Kids Fiction,84,7.4,16232
2512846,3438804,,2000000,Aug 02 2002,R,,Contemporary Fiction,37,4.8,6660
33451479,33451479,31898934,500000,Sep 26 2008,PG,122,Contemporary Fiction,40,5.6,5498
6755271,6755271,,5000000,Apr 27 2001,R,,Contemporary Fiction,8,5.1,4679
18622031,28144586,6677601,29000000,Dec 05 2008,R,122,Dramatization,92,7.9,36366
1661464,1661464,,7000000,Dec 29 2006,R,90,Dramatization,19,6.1,8680
196857,196857,,12000000,Jan 06 2006,R,,,,6,462
45950122,257938649,,3500000,Aug 13 1997,R,90,Contemporary Fiction,95,7.2,40877
110550000,202250000,29638269,140000000,Dec 21 2005,PG-13,90,Contemporary Fiction,29,6.3,1788
51855045,71880305,13721109,70000000,Jul 31 2009,R,,Contemporary Fiction,67,6.8,37791
223202,2281089,,16800000,Nov 10 2006,R,121,Dramatization,,,
17630465,21630465,4335991,35000000,Apr 30 2010,PG,,Kids Fiction,8,2.6,3458
42071069,50071069,,40000000,Apr 08 2005,PG-13,,Contemporary Fiction,,6.3,16736
5549923,5549923,,12000000,Nov 17 2006,PG-13,86,Contemporary Fiction,50,6.2,7780
48265581,48265581,,50000000,Sep 12 1997,R,128,Contemporary Fiction,80,7.7,74136
77730500,190400000,,97000000,Dec 20 2002,R,168,Historical Fiction,75,7.4,113378
75367693,200802638,,50000000,Jun 11 2004,PG,80,Contemporary Fiction,,4.8,19870
18882880,20819601,19382312,20000000,May 11 2007,R,111,Contemporary Fiction,17,5.8,10902
12532777,12532777,,36000000,Oct 24 1997,PG-13,,Science Fiction,82,7.8,70906
20300218,34619699,11406490,19000000,Oct 19 2007,R,114,Contemporary Fiction,,,
4063859,79316616,,6400000,Feb 27 2004,R,,Contemporary Fiction,,3.3,198
37667746,45312217,,17000000,Oct 10 2003,PG,87,Kids Fiction,45,5,1961
12882934,12923936,,55000000,Feb 21 2003,PG-13,,Historical Fiction,8,6,7437
1308696,1308696,,32000000,Dec 15 2006,R,104,Historical Fiction,32,6.1,13007
6451628,6451628,,3500000,Nov 06 1998,R,,Historical Fiction,96,7.5,15946
22441,22441,,15000000,Oct 05 2007,R,93,Contemporary Fiction,29,6,4332
3517797,3517797,,30000000,Apr 02 2003,R,,Contemporary Fiction,78,,
0,0,,32000000,Dec 31 2004,PG,,,,5.7,1762
254683,254683,,7000000,Feb 14 2003,R,,,,6.2,8583
119436770,287389685,44145849,82500000,Jul 24 2009,PG,,Kids Fiction,22,5,9633
38432823,41480851,34066576,30000000,Sep 15 2006,PG-13,126,Dramatization,41,6.8,12400
14018296,15976468,,8000000,Aug 07 2002,R,,Contemporary Fiction,81,6.6,21460
30113491,68349884,,20000000,Oct 25 2002,R,91,Contemporary Fiction,13,5.3,25891
13052741,13052741,,36000000,Dec 20 1996,PG-13,,Dramatization,50,6.4,5276
17951431,22861785,,22000000,Sep 14 2001,PG-13,,Contemporary Fiction,21,5.6,10629
115802596,237702596,103730683,120000000,Feb 16 2007,PG-13,110,Super Hero,26,5.2,63235
13252641,26612350,7574314,20000000,Sep 19 2008,PG-13,102,Fantasy,85,4.7,310
12008642,44567606,,10000000,Dec 19 2000,R,,Contemporary Fiction,56,6.7,28488
6087542,7266209,,54000000,Aug 01 2003,R,,Contemporary Fiction,6,2.4,29031
48169156,48169156,,50000000,Aug 22 1997,R,124,Contemporary Fiction,,5.5,23807
150201498,302469019,69866155,175000000,Aug 07 2009,PG-13,118,Contemporary Fiction,,5.8,47052
28871190,28871190,,24000000,Dec 21 1999,R,127,Dramatization,53,,
187683805,457683805,,103000000,May 05 2000,R,150,Historical Fiction,77,8.3,279512
4273372,4273372,,8500000,Sep 21 2001,PG-13,,Contemporary Fiction,7,2,13778
4167493,4967493,,30000000,Jan 22 1999,R,,Contemporary Fiction,19,4.7,2726
35017297,59183821,26234476,25000000,Sep 21 2007,R,96,Contemporary Fiction,5,5.6,29013
8434601,8434601,,28000000,Aug 24 2001,R,,Science Fiction,,,
136801374,286601374,,60000000,Dec 10 1999,R,187,Fantasy,77,8.4,198916
375474,375474,,20000000,Apr 22 2005,PG,,,25,6,1443
240425,1375194,,5000000,Aug 03 2007,Not Rated,,Dramatization,40,8.1,50881
31501218,54601218,20967273,7000000,Oct 07 2005,PG,,Dramatization,,7.7,42797
102705852,149705852,,60000000,Jun 18 1999,R,116,Contemporary Fiction,22,6.1,23570
1638202,1638202,,10000000,Feb 04 2000,R,,Contemporary Fiction,24,5.4,3607
16875273,28383441,,6500000,Apr 09 1999,R,103,Contemporary Fiction,92,,
4283255,27610873,12616824,33000000,May 12 2006,PG,121,Contemporary Fiction,,6.9,16809
10037390,10037390,,1000000,Aug 18 2000,PG,,Science Fiction,,,
14334645,16910708,,30000000,Apr 30 2004,PG-13,,Science Fiction,4,4.7,13866
136314294,376000000,,125000000,May 19 1998,PG-13,139,Science Fiction,25,4.8,59455
277233,277233,,40000,Aug 25 2000,R,,,,,
101643008,232643008,,103300000,Jun 09 2000,PG-13,118,,,6.4,2940
27276,27276,,16000000,Dec 31 2008,R,,Historical Fiction,34,6.2,1926
138433435,225933435,,10000000,Feb 20 1987,R,126,Contemporary Fiction,97,8.1,150415
41300105,41300105,,18000000,Dec 26 2001,R,137,Historical Fiction,86,7.3,36648
5108820,12591270,,14000000,Apr 21 2000,R,,Contemporary Fiction,28,,
90648202,147914546,50113315,22000000,Sep 22 2007,PG,110,Contemporary Fiction,27,6.3,14984
11634362,22106210,,12000000,Dec 12 2003,PG-13,,Historical Fiction,71,7.1,23493
71423726,90523726,,45000000,Dec 25 1999,PG,104,Science Fiction,89,7.2,52507
12178602,24325623,,4000000,Aug 04 2000,R,,Contemporary Fiction,63,6.8,8543
2956339,3036736,,9000000,Jun 01 2007,PG-13,98,Dramatization,59,6.2,2084
10166502,10597070,,60000000,Aug 12 2005,R,,Historical Fiction,36,6.8,8894
115879,115879,,3000000,Mar 21 2008,R,,Contemporary Fiction,,6.1,3346
33579798,81079798,,25500000,Aug 31 2005,R,,Historical Fiction,83,7.6,50763
26782316,32381151,,2500000,Jul 28 2004,R,109,Contemporary Fiction,86,7.9,92594
305260,206005260,21249794,6000000,Jun 16 1978,PG,,Historical Fiction,83,7,60146
35053660,84788541,14424476,100000000,Mar 12 2010,R,,Historical Fiction,55,7.1,26759
105263257,174463257,,55000000,Jul 16 1997,PG,91,Kids Fiction,54,5.3,19685
37899638,105299638,,80000000,Aug 26 2005,PG-13,,Fantasy,37,5.9,43532
14589444,18589444,,25000000,Apr 09 2004,R,,Contemporary Fiction,56,7,5614
260044825,345141403,,123000000,Nov 17 2000,PG,104,Kids Fiction,53,5.7,40310
25031037,50187789,31070911,53000000,Apr 06 2007,R,191,Fantasy,,7.9,82770
30981850,46437122,9906347,40000000,Nov 09 2005,R,,Contemporary Fiction,16,4,18126
56068547,185724838,35069986,30000000,Oct 05 2005,G,85,Kids Fiction,95,7.9,38158
1115313,1167524,,500000,Jun 09 2000,R,,Contemporary Fiction,56,5.8,2486
28084357,28084357,,15000000,Apr 11 1997,R,106,Contemporary Fiction,,7.4,41523
39143839,68643839,8293678,20000000,Oct 13 2006,PG-13,102,Contemporary Fiction,10,4.6,16024
110359362,187281115,,10000000,Oct 22 2004,PG-13,96,Contemporary Fiction,39,5.7,43218
161094625,250294625,,75000000,Jun 25 2010,PG-13,102,Contemporary Fiction,9,5.8,13488
3330230,6030230,,2000000,Mar 03 2000,R,,Contemporary Fiction,,,
68915888,102115888,,35000000,Mar 25 2005,PG-13,103,Contemporary Fiction,43,5.7,15789
14967182,19417182,,40000000,Oct 06 2000,R,,Contemporary Fiction,12,4.8,14196
11560259,11560259,,10000000,Mar 09 2001,PG-13,,Contemporary Fiction,45,5.5,9350
1569918,9438074,,17000000,Oct 17 2003,R,,Dramatization,54,6.8,8778
3051221,23788368,,11000000,Jan 31 2003,R,,Contemporary Fiction,,5.5,9239
15543862,17430594,,20000000,Jan 17 2003,PG-13,,Contemporary Fiction,,5.5,8147
6217849,8764007,,5500000,Jul 20 2001,R,,Contemporary Fiction,92,7.7,42973
33392973,38512850,6646073,15000000,Aug 28 2009,R,105,Fantasy,,4.5,9284
118823091,202823091,104104829,75000000,Jul 20 2007,PG,117,Historical Fiction,91,7.2,41511
17394881,17394881,,8000000,Jan 16 1998,R,84,Contemporary Fiction,29,6.3,18791
4501094,7129670,,18000000,Dec 25 1996,PG-13,,Historical Fiction,94,6,5147
1577287,2288841,,2000000,May 12 2000,R,,Contemporary Fiction,71,6,5147
0,0,,50000000,Dec 31 1969,,,Dramatization,,,
227946274,624346274,89352567,150000000,Jul 02 2008,PG-13,,Super Hero,40,6.5,100822
15849032,38344430,16559473,47000000,Jan 05 2007,PG,,Kids Fiction,,3.9,4678
64506874,163403799,21432877,60000000,Jun 13 2008,R,89,Science Fiction,18,5.2,72259
2039192,2039192,,1700000,Oct 01 1999,PG-13,,Contemporary Fiction,82,7.5,198
1024640,1881243,,950000,Apr 14 2006,R,,Contemporary Fiction,,7.2,45791
3337931,5963961,2638319,2000000,Nov 10 2006,R,120,Contemporary Fiction,48,7,26347
56653,56653,,5500000,May 17 2002,R,,,,4.9,2758
1818681,6294140,,7300000,Apr 30 2010,R,,,,7.4,14297
48237389,70237389,15442818,25000000,Aug 22 2008,PG-13,98,Contemporary Fiction,39,5.5,18964
17044981,20940428,,7000000,Jul 22 2005,R,,Contemporary Fiction,54,6.9,36082
12634962,16829545,,7000000,Apr 11 2003,R,,Contemporary Fiction,,5.5,3311
10199354,13767816,,7000000,Oct 10 2003,R,,Contemporary Fiction,,6.5,5541
67286731,107336658,,78000000,Mar 05 2004,PG-13,136,Historical Fiction,46,6.6,23604
51100486,123100486,,25000000,Jan 28 2005,R,105,Contemporary Fiction,12,5.6,30891
51386611,110011106,31171440,17500000,Dec 16 2005,PG,80,Fantasy,,6.7,20461
0,0,,90000000,Dec 17 2010,,,Contemporary Fiction,,,
37788228,38283765,,35200000,Mar 28 2003,PG-13,95,Contemporary Fiction,30,5.1,8447
3067312,3643900,,6000000,Jul 20 2001,R,,Contemporary Fiction,92,7.6,14766
18098433,52858433,,20000000,Feb 11 2005,G,,Kids Fiction,80,6.3,1605
21567853,21567853,,25000000,May 01 1998,R,134,Contemporary Fiction,80,6.8,14494
23483357,28483168,,35000000,Nov 09 2001,R,109,Contemporary Fiction,66,3.2,77
75986503,160388063,43689202,82500000,Jul 11 2008,PG-13,,Super Hero,,7.3,61902
59623958,99823958,,60000000,Apr 02 2004,PG-13,122,Super Hero,81,6.8,67763
37485528,43340302,,50000000,May 28 2004,PG-13,119,Contemporary Fiction,22,5.7,10526
1029017,1033810,,6500000,Jul 23 2004,R,,Historical Fiction,48,6.7,7180
53652140,177352140,,17000000,Aug 27 2004,PG-13,96,Historical Fiction,,,
10494147,10845127,,15000000,Mar 24 2000,PG-13,,Contemporary Fiction,18,4.6,4929
11050094,92863945,,12000000,Dec 03 2004,PG-13,,Historical Fiction,,,
10397365,10397365,,14000000,Feb 02 2001,PG-13,,Contemporary Fiction,9,4.8,6574
91188905,180188905,,80000000,Jul 23 1999,PG-13,114,Contemporary Fiction,17,4.6,31808
41543207,63781100,,42000000,Apr 05 2002,PG-13,115,Contemporary Fiction,31,6.1,14428
27277055,47881663,,20000000,Mar 31 2000,R,114,Contemporary Fiction,92,7.6,69740
12801190,12801190,,15000000,Sep 01 2000,R,,Fantasy,,4.3,8421
226792,226792,,10000000,Oct 26 2001,R,,,20,6.1,2205
90556401,251056401,59373004,11000000,Oct 24 2008,G,,Contemporary Fiction,66,3.7,18587
2730296,13425589,,3700000,Nov 21 2006,R,,Contemporary Fiction,63,6.7,10293
31493782,59993782,38659936,32000000,Sep 23 2005,R,,Contemporary Fiction,87,7.6,79738
177784257,366784257,,55000000,Feb 11 2005,PG-13,113,Contemporary Fiction,69,5.7,89
39687694,99965792,28077100,17500000,Nov 21 2007,R,93,Contemporary Fiction,14,6.8,520
38108728,43231984,24609630,12000000,Apr 25 2008,R,,Contemporary Fiction,54,6.7,42358
18225165,18225165,,9000000,Jul 30 2004,R,,Contemporary Fiction,74,7.2,56030
4714090,4714090,,8000000,May 12 2000,PG-13,,Contemporary Fiction,17,4.7,1840
20804166,37466538,30512461,15000000,Mar 23 2007,R,88,Fantasy,,5,17948
41778863,69623713,20576805,17000000,Mar 10 2006,R,,Contemporary Fiction,49,6.5,43747
2775593,12031443,,28000000,Oct 03 2008,R,109,Contemporary Fiction,36,6.7,25756
15567860,19233280,,25000000,Nov 15 2002,PG-13,,Contemporary Fiction,2,4.1,6909
55041738,55041738,,17000000,Aug 05 1998,R,85,Contemporary Fiction,,,
30259652,37659652,,15000000,Jul 12 2002,R,89,Contemporary Fiction,,3.9,13181
